,time_stamp,fault,joint,pose,offset,time,time_label,drop_rate,mean,sd
100,1970-01-01 00:04:53.177,3,5,3,2,1,3,3,3.7699999809265137,3.6500000953674316
101,1970-01-01 00:06:14.033,1,1,5,4,3,3,1,-4.809999942779541,4.880000114440918
102,1970-01-01 00:07:29.866,3,4,5,4,2,3,3,-2.7100000381469727,1.25
103,1970-01-01 00:08:48.574,2,7,8,5,3,2,1,-0.2800000011920929,1.6799999475479126
104,1970-01-01 00:00:34.852,4,6,2,1,1,2,1,4.510000228881836,1.8799999952316284
105,1970-01-01 00:02:13.474,3,4,8,1,3,3,1,1.7400000095367432,3.0299999713897705
106,1970-01-01 00:03:26.968,4,2,6,2,3,3,3,1.1399999856948853,1.5099999904632568
107,1970-01-01 00:05:10.219,3,6,3,5,3,3,1,-1.7000000476837158,3.4200000762939453
108,1970-01-01 00:06:42.403,2,4,2,4,1,3,1,-0.5400000214576721,1.5
109,1970-01-01 00:07:53.667,2,2,2,4,2,2,2,-1.8300000429153442,4.659999847412109
110,1970-01-01 00:09:12.404,3,7,3,4,1,2,1,-3.0,1.1100000143051147
111,1970-01-01 00:00:37.941,2,8,2,5,1,3,2,2.950000047683716,4.869999885559082
112,1970-01-01 00:02:12.173,2,3,8,3,2,3,2,-0.8600000143051147,1.75
113,1970-01-01 00:03:29.206,1,6,5,1,2,2,1,-0.28999999165534973,4.010000228881836
114,1970-01-01 00:04:40.441,3,8,6,4,3,3,3,1.3700000047683716,2.200000047683716
115,1970-01-01 00:06:02.635,4,2,8,1,1,2,2,0.10999999940395355,3.430000066757202
116,1970-01-01 00:07:19.265,1,8,3,3,2,3,1,0.44999998807907104,1.5800000429153442
117,1970-01-01 00:08:41.102,4,1,5,1,2,3,1,-4.409999847412109,2.7200000286102295
118,1970-01-01 00:00:37.548,1,0,5,1,3,3,2,4.199999809265137,3.5399999618530273
119,1970-01-01 00:02:10.812,3,2,1,4,2,3,3,-0.5199999809265137,2.309999942779541
120,1970-01-01 00:03:27.509,1,2,7,4,3,3,2,4.119999885559082,2.1600000858306885
121,1970-01-01 00:04:53.039,2,3,6,1,1,2,1,-2.009999990463257,2.740000009536743
122,1970-01-01 00:06:15.572,1,3,6,1,1,3,2,2.619999885559082,2.880000114440918
123,1970-01-01 00:08:32.269,2,6,1,1,1,3,1,-0.5400000214576721,3.6500000953674316
124,1970-01-01 00:09:52.369,4,5,6,5,2,2,1,-3.4000000953674316,2.009999990463257
125,1970-01-01 00:00:38.673,2,6,5,5,1,2,1,0.33000001311302185,3.509999990463257
126,1970-01-01 00:02:12.875,1,7,3,5,1,3,2,1.149999976158142,3.5999999046325684
127,1970-01-01 00:03:27.072,3,4,1,5,2,3,2,3.5999999046325684,2.690000057220459
128,1970-01-01 00:04:52.273,4,3,8,5,3,2,3,-1.5099999904632568,3.450000047683716
129,1970-01-01 00:06:14.467,3,6,5,3,1,3,1,-1.7200000286102295,1.5499999523162842
130,1970-01-01 00:07:26.205,3,3,9,1,3,2,1,-4.699999809265137,2.380000114440918
131,1970-01-01 00:08:40.094,3,1,8,4,2,3,3,-3.930000066757202,2.4800000190734863
132,1970-01-01 00:00:35.280,4,8,1,2,1,2,3,4.090000152587891,4.210000038146973
133,1970-01-01 00:02:12.032,3,5,9,3,3,2,3,1.5399999618530273,3.7799999713897705
134,1970-01-01 00:03:25.741,1,4,6,4,2,2,2,4.289999961853027,2.009999990463257
135,1970-01-01 00:04:52.373,2,3,1,5,1,3,2,-2.7699999809265137,3.359999895095825
136,1970-01-01 00:06:11.172,2,7,8,5,3,2,1,0.25,3.559999942779541
137,1970-01-01 00:07:27.274,3,4,2,4,3,2,3,-0.5899999737739563,2.509999990463257
138,1970-01-01 00:08:44.936,3,0,8,4,3,2,3,4.650000095367432,2.4000000953674316
139,1970-01-01 00:00:34.665,3,3,7,2,1,3,2,4.409999847412109,4.929999828338623
140,1970-01-01 00:02:12.436,2,5,4,2,1,2,1,-2.2799999713897705,3.4800000190734863
141,1970-01-01 00:03:24.735,1,6,4,5,2,2,2,-2.7200000286102295,3.609999895095825
142,1970-01-01 00:05:05.405,1,6,9,4,1,3,2,-0.949999988079071,3.6700000762939453
143,1970-01-01 00:06:27.803,3,0,3,3,3,3,3,1.9500000476837158,1.649999976158142
144,1970-01-01 00:07:40.607,2,2,9,3,3,2,3,-0.6499999761581421,4.730000019073486
145,1970-01-01 00:08:57.133,3,1,4,1,1,2,2,0.3700000047683716,2.559999942779541
146,1970-01-01 00:00:36.719,2,0,5,3,3,3,1,4.420000076293945,4.96999979019165
147,1970-01-01 00:02:11.869,3,3,2,2,3,3,1,4.190000057220459,2.7799999713897705
148,1970-01-01 00:00:35.464,1,0,3,1,1,2,2,-3.630000114440918,4.099999904632568
149,1970-01-01 00:02:07.435,3,2,3,5,3,3,3,1.2100000381469727,2.1600000858306885
150,1970-01-01 00:03:22.674,4,6,8,2,2,3,2,-2.859999895095825,4.369999885559082
151,1970-01-01 00:04:50.005,3,5,4,4,3,3,2,2.369999885559082,1.350000023841858
152,1970-01-01 00:06:10.605,3,7,2,5,3,3,2,-4.239999771118164,1.2599999904632568
153,1970-01-01 00:07:21.636,4,2,5,4,3,2,1,-0.3100000023841858,2.75
154,1970-01-01 00:08:49.769,4,7,9,2,1,2,1,-4.429999828338623,4.130000114440918
155,1970-01-01 00:00:37.436,1,7,6,1,1,2,2,4.860000133514404,1.5399999618530273
156,1970-01-01 00:02:12.674,4,7,6,5,2,2,3,-3.4000000953674316,2.2899999618530273
157,1970-01-01 00:03:27.966,1,4,6,5,2,2,3,0.23000000417232513,2.9800000190734863
158,1970-01-01 00:04:55.303,2,7,4,4,1,3,3,-4.050000190734863,2.180000066757202
159,1970-01-01 00:06:18.099,2,0,9,3,2,2,3,-4.590000152587891,1.340000033378601
160,1970-01-01 00:07:30.139,4,8,1,3,1,3,3,-1.9299999475479126,1.7400000095367432
161,1970-01-01 00:08:48.800,3,1,9,1,2,3,1,1.350000023841858,3.240000009536743
162,1970-01-01 00:00:37.762,2,0,2,4,3,2,2,0.4399999976158142,3.869999885559082
163,1970-01-01 00:02:08.773,2,8,4,1,3,3,1,-2.8399999141693115,4.050000190734863
164,1970-01-01 00:03:24.904,2,5,9,2,2,2,2,-2.9100000858306885,3.0999999046325684
165,1970-01-01 00:04:51.202,4,5,6,2,3,2,1,4.320000171661377,2.6600000858306885
166,1970-01-01 00:06:22.106,4,2,7,3,3,3,2,2.819999933242798,1.5700000524520874
167,1970-01-01 00:07:36.169,3,7,1,3,3,3,1,3.5,4.360000133514404
168,1970-01-01 00:08:47.304,2,8,1,2,1,3,3,-3.5299999713897705,2.059999942779541
169,1970-01-01 00:00:37.568,2,1,6,4,1,2,1,-3.0799999237060547,2.559999942779541
170,1970-01-01 00:02:11.335,2,4,5,3,2,2,1,1.8200000524520874,4.800000190734863
171,1970-01-01 00:03:24.639,4,2,1,1,1,2,1,3.390000104904175,3.369999885559082
172,1970-01-01 00:04:50.676,1,6,2,3,3,3,2,0.10000000149011612,3.559999942779541
173,1970-01-01 00:06:07.672,2,0,7,5,1,2,2,2.180000066757202,3.5799999237060547
174,1970-01-01 00:07:23.306,4,1,5,1,1,3,2,1.0499999523162842,4.800000190734863
175,1970-01-01 00:08:45.467,2,2,3,4,1,2,2,4.559999942779541,2.2799999713897705
176,1970-01-01 00:00:37.341,3,7,9,5,1,2,2,-2.7799999713897705,1.0399999618530273
177,1970-01-01 00:02:10.973,3,5,6,4,1,2,2,-1.6200000047683716,1.3200000524520874
178,1970-01-01 00:03:29.106,3,3,4,1,2,3,3,3.690000057220459,2.200000047683716
179,1970-01-01 00:04:52.141,1,0,9,1,2,2,1,0.47999998927116394,3.9700000286102295
180,1970-01-01 00:06:29.104,3,0,3,1,1,2,3,-0.36000001430511475,1.0700000524520874
181,1970-01-01 00:07:44.702,4,7,4,3,2,2,3,-4.670000076293945,4.070000171661377
182,1970-01-01 00:09:03.475,1,3,8,5,3,2,2,-4.010000228881836,2.259999990463257
