time,.data
1970/01/01/01:00:29.800000,False
1970/01/01/01:00:29.834000,False
1970/01/01/01:00:29.867000,False
1970/01/01/01:00:29.900000,False
1970/01/01/01:00:29.934000,False
1970/01/01/01:00:29.967000,False
1970/01/01/01:00:30.000000,False
1970/01/01/01:00:30.035000,False
1970/01/01/01:00:30.067000,False
1970/01/01/01:00:30.100000,False
1970/01/01/01:00:30.134000,False
1970/01/01/01:00:30.167000,False
1970/01/01/01:00:30.200000,False
1970/01/01/01:00:30.234000,False
1970/01/01/01:00:30.268000,False
1970/01/01/01:00:30.300000,False
1970/01/01/01:00:30.334000,False
1970/01/01/01:00:30.367000,False
1970/01/01/01:00:30.400000,False
1970/01/01/01:00:30.434000,False
1970/01/01/01:00:30.467000,False
1970/01/01/01:00:30.500000,False
1970/01/01/01:00:30.535000,False
1970/01/01/01:00:30.567000,False
1970/01/01/01:00:30.600000,False
1970/01/01/01:00:30.634000,False
1970/01/01/01:00:30.667000,False
1970/01/01/01:00:30.700000,False
1970/01/01/01:00:30.734000,False
1970/01/01/01:00:30.767000,False
1970/01/01/01:00:30.801000,False
1970/01/01/01:00:30.835000,False
1970/01/01/01:00:30.867000,False
1970/01/01/01:00:30.900000,False
1970/01/01/01:00:30.934000,False
1970/01/01/01:00:30.967000,False
1970/01/01/01:00:31.001000,False
1970/01/01/01:00:31.034000,False
1970/01/01/01:00:31.067000,False
1970/01/01/01:00:31.100000,False
1970/01/01/01:00:31.134000,False
1970/01/01/01:00:31.168000,False
1970/01/01/01:00:31.200000,False
1970/01/01/01:00:31.234000,False
1970/01/01/01:00:31.267000,False
1970/01/01/01:00:31.300000,False
1970/01/01/01:00:31.334000,False
1970/01/01/01:00:31.367000,False
1970/01/01/01:00:31.400000,False
1970/01/01/01:00:31.434000,False
1970/01/01/01:00:31.467000,False
1970/01/01/01:00:31.500000,False
1970/01/01/01:00:31.534000,False
1970/01/01/01:00:31.567000,False
1970/01/01/01:00:31.600000,False
1970/01/01/01:00:31.634000,False
1970/01/01/01:00:31.667000,False
1970/01/01/01:00:31.700000,False
1970/01/01/01:00:31.734000,False
1970/01/01/01:00:31.767000,False
1970/01/01/01:00:31.801000,False
1970/01/01/01:00:31.834000,False
1970/01/01/01:00:31.867000,False
1970/01/01/01:00:31.900000,False
1970/01/01/01:00:31.934000,False
1970/01/01/01:00:31.967000,False
1970/01/01/01:00:32.000000,False
1970/01/01/01:00:32.035000,False
1970/01/01/01:00:32.067000,False
1970/01/01/01:00:32.100000,False
1970/01/01/01:00:32.134000,False
1970/01/01/01:00:32.167000,False
1970/01/01/01:00:32.200000,False
1970/01/01/01:00:32.235000,False
1970/01/01/01:00:32.268000,False
1970/01/01/01:00:32.301000,False
1970/01/01/01:00:32.334000,False
1970/01/01/01:00:32.367000,False
1970/01/01/01:00:32.400000,False
1970/01/01/01:00:32.434000,False
1970/01/01/01:00:32.467000,False
1970/01/01/01:00:32.500000,False
1970/01/01/01:00:32.534000,False
1970/01/01/01:00:32.567000,False
1970/01/01/01:00:32.600000,False
1970/01/01/01:00:32.634000,False
1970/01/01/01:00:32.667000,False
1970/01/01/01:00:32.700000,False
1970/01/01/01:00:32.734000,False
1970/01/01/01:00:32.767000,False
1970/01/01/01:00:32.800000,False
1970/01/01/01:00:32.834000,False
1970/01/01/01:00:32.867000,False
1970/01/01/01:00:32.900000,False
1970/01/01/01:00:32.934000,False
1970/01/01/01:00:32.967000,False
1970/01/01/01:00:33.000000,False
1970/01/01/01:00:33.034000,False
1970/01/01/01:00:33.067000,False
1970/01/01/01:00:33.100000,False
1970/01/01/01:00:33.134000,False
1970/01/01/01:00:33.167000,False
1970/01/01/01:00:33.201000,False
1970/01/01/01:00:33.234000,False
1970/01/01/01:00:33.267000,False
1970/01/01/01:00:33.300000,False
1970/01/01/01:00:33.334000,False
1970/01/01/01:00:33.368000,False
1970/01/01/01:00:33.401000,False
1970/01/01/01:00:33.434000,False
1970/01/01/01:00:33.467000,False
1970/01/01/01:00:33.500000,False
1970/01/01/01:00:33.534000,False
1970/01/01/01:00:33.568000,False
1970/01/01/01:00:33.600000,False
1970/01/01/01:00:33.634000,False
1970/01/01/01:00:33.667000,False
1970/01/01/01:00:33.700000,False
1970/01/01/01:00:33.734000,False
1970/01/01/01:00:33.767000,False
1970/01/01/01:00:33.800000,False
1970/01/01/01:00:33.834000,False
1970/01/01/01:00:33.867000,False
1970/01/01/01:00:33.900000,False
1970/01/01/01:00:33.934000,False
1970/01/01/01:00:33.967000,False
1970/01/01/01:00:34.000000,False
1970/01/01/01:00:34.034000,False
1970/01/01/01:00:34.067000,False
1970/01/01/01:00:34.100000,False
1970/01/01/01:00:34.134000,False
1970/01/01/01:00:34.167000,False
1970/01/01/01:00:34.200000,False
1970/01/01/01:00:34.234000,False
1970/01/01/01:00:34.267000,False
1970/01/01/01:00:34.300000,False
1970/01/01/01:00:34.334000,False
1970/01/01/01:00:34.367000,False
1970/01/01/01:00:34.400000,False
1970/01/01/01:00:34.434000,False
1970/01/01/01:00:34.467000,False
1970/01/01/01:00:34.500000,False
1970/01/01/01:00:34.534000,False
1970/01/01/01:00:34.567000,False
1970/01/01/01:00:34.600000,False
1970/01/01/01:00:34.634000,False
1970/01/01/01:00:34.667000,False
1970/01/01/01:00:34.700000,False
1970/01/01/01:00:34.734000,False
1970/01/01/01:00:34.767000,False
1970/01/01/01:00:34.800000,False
1970/01/01/01:00:34.834000,False
1970/01/01/01:00:34.867000,False
1970/01/01/01:00:34.900000,False
1970/01/01/01:00:34.934000,False
1970/01/01/01:00:34.967000,False
1970/01/01/01:00:35.000000,False
1970/01/01/01:00:35.034000,False
1970/01/01/01:00:35.068000,False
1970/01/01/01:00:35.101000,False
1970/01/01/01:00:35.134000,False
1970/01/01/01:00:35.167000,False
1970/01/01/01:00:35.201000,False
1970/01/01/01:00:35.235000,False
1970/01/01/01:00:35.267000,False
1970/01/01/01:00:35.300000,False
1970/01/01/01:00:35.334000,False
1970/01/01/01:00:35.367000,False
1970/01/01/01:00:35.400000,False
1970/01/01/01:00:35.434000,False
1970/01/01/01:00:35.467000,False
1970/01/01/01:00:35.500000,False
1970/01/01/01:00:35.534000,False
1970/01/01/01:00:35.567000,False
1970/01/01/01:00:35.600000,False
1970/01/01/01:00:35.634000,False
1970/01/01/01:00:35.667000,False
1970/01/01/01:00:35.700000,False
1970/01/01/01:00:35.734000,False
1970/01/01/01:00:35.767000,False
1970/01/01/01:00:35.800000,False
1970/01/01/01:00:35.834000,False
1970/01/01/01:00:35.867000,False
1970/01/01/01:00:35.900000,False
1970/01/01/01:00:35.934000,False
1970/01/01/01:00:35.967000,False
1970/01/01/01:00:36.000000,False
1970/01/01/01:00:36.034000,False
1970/01/01/01:00:36.067000,False
